|time|fromM |     N      |Reset|  ToM  |WriteM |Addre|PCOut|AluOut|  R0Out   |  R1Out   |
|0+  |     1|100000000000|  0  |      0|   0   |    0|    0|     0|       0  |       0  |
|1   |     1|100000000000|  0  |      0|   0   |    0|    0|     1|       1  |       0  |
|1+  |     0|100101000000|  0  |      0|   0   |    0|    0|     1|       1  |       0  |
|2   |     0|100101000000|  0  |      0|   0   |    0|    0|     1|       1  |       0  |
|2+  |     2|100001000000|  0  |      0|   0   |    0|    0|     1|       1  |       0  |
|3   |     2|100001000000|  0  |      0|   0   |    0|    0|     1|       1  |       2  |
|3+  |     2|001000000001|  0  |      0|   0   |    0|    0|     3|       1  |       2  |
|4   |     2|001000000001|  0  |      0|   0   |    0|    0|     5|       3  |       2  |
|4+  |     2|000000001000|  0  |      0|   0   |    0|    0|     5|       3  |       2  |
|5   |     2|000000001000|  0  |      0|   0   |    0|    0|     7|       5  |       2  |
